886,447,958
892,821,21
470,334,583
871,109,512
985,150,942
63,64,51
759,860,554
244,437,18
79,578,773
576,399,397
402,123,528
743,737,523
110,256,334
86,512,403
191,315,837
711,440,128
233,42,244
181,976,332
747,650,911
572,102,847
621,967,941
787,799,252
546,721,282
362,45,655
28,154,721
843,616,895
816,889,281
462,654,47
648,8,883
39,50,782
54,239,445
529,944,954
658,23,498
469,208,923
165,406,1000
645,754,325
680,220,377
806,507,583
102,784,422
516,22,573
943,946,686
359,214,66
37,921,993
622,609,172
675,514,29
364,86,151
138,979,338
357,175,352
149,770,690
911,208,811
449,30,304
217,9,975
996,944,914
844,878,882
104,324,78
984,120,481
319,139,803
300,518,719
769,747,448
407,925,471
948,371,102
495,125,780
673,9,720
429,170,478
583,296,248
500,93,159
34,76,668
419,444,939
480,500,160
820,867,355
275,980,721
811,276,932
144,254,147
980,618,612
402,726,984
348,507,241
824,781,686
623,375,627
226,950,943
904,42,677
965,290,9
227,707,870
25,137,800
927,35,747
731,167,477
305,823,565
172,928,169
98,562,248
20,101,994
979,824,989
318,806,156
38,104,127
695,825,988
812,605,208
448,644,496
934,899,3
307,130,791
682,718,159
117,77,443
127,547,725
759,461,135
301,319,892
911,184,521
625,707,161
495,46,635
788,339,689
628,402,906
370,584,5
533,441,519
720,454,527
